"","Sex","ag","n_draw","prob_symptoms_str"
"141","Male","25-34",12,0.213094862967753
"142","Male","35-49",12,0.266368578709691
"143","Male","50+",12,0.31964229445163
"144","Male","<2",12,0.0532737157419383
"145","Female","15-24",13,0.268560709034725
"146","Female","2-14",13,0.179040472689817
"147","Female","25-34",13,0.358080945379633
"148","Female","35-49",13,0.447601181724542
"149","Female","50+",13,0.53712141806945
"150","Female","<2",13,0.0895202363449083
"151","Male","15-24",13,0.268560709034725
"152","Male","2-14",13,0.179040472689817
"153","Male","25-34",13,0.358080945379633
"154","Male","35-49",13,0.447601181724542
"155","Male","50+",13,0.53712141806945
"156","Male","<2",13,0.0895202363449083
"157","Female","15-24",14,0.28681115482444
"158","Female","2-14",14,0.191207436549627
"159","Female","25-34",14,0.382414873099253
"160","Female","35-49",14,0.478018591374066
"161","Female","50+",14,0.57362230964888
"162","Female","<2",14,0.0956037182748133
"163","Male","15-24",14,0.28681115482444
"164","Male","2-14",14,0.191207436549627
"165","Male","25-34",14,0.382414873099253
"166","Male","35-49",14,0.478018591374066
"167","Male","50+",14,0.57362230964888
"168","Male","<2",14,0.0956037182748133
"169","Female","15-24",15,0.278174554721679
"170","Female","2-14",15,0.185449703147786
"171","Female","25-34",15,0.370899406295572
"172","Female","35-49",15,0.463624257869465
"173","Female","50+",15,0.556349109443358
"174","Female","<2",15,0.092724851573893
"175","Male","15-24",15,0.278174554721679
"176","Male","2-14",15,0.185449703147786
"177","Male","25-34",15,0.370899406295572
"178","Male","35-49",15,0.463624257869465
"179","Male","50+",15,0.556349109443358
"180","Male","<2",15,0.092724851573893
"181","Female","15-24",16,0.255600032615626
"182","Female","2-14",16,0.170400021743751
"183","Female","25-34",16,0.340800043487502
"184","Female","35-49",16,0.426000054359377
"185","Female","50+",16,0.511200065231252
"186","Female","<2",16,0.0852000108718754
"187","Male","15-24",16,0.255600032615626
"188","Male","2-14",16,0.170400021743751
"189","Male","25-34",16,0.340800043487502
"190","Male","35-49",16,0.426000054359377
"191","Male","50+",16,0.511200065231252
"192","Male","<2",16,0.0852000108718754
"193","Female","15-24",17,0.210181541914448
"194","Female","2-14",17,0.140121027942965
"195","Female","25-34",17,0.28024205588593
"196","Female","35-49",17,0.350302569857413
"197","Female","50+",17,0.420363083828895
"198","Female","<2",17,0.0700605139714825
"199","Male","15-24",17,0.210181541914448
"200","Male","2-14",17,0.140121027942965
"201","Male","25-34",17,0.28024205588593
"202","Male","35-49",17,0.350302569857413
"203","Male","50+",17,0.420363083828895
"204","Male","<2",17,0.0700605139714825
"205","Female","15-24",18,0.219048432030184
"206","Female","2-14",18,0.146032288020122
"207","Female","25-34",18,0.292064576040245
"208","Female","35-49",18,0.365080720050306
"209","Female","50+",18,0.438096864060367
"210","Female","<2",18,0.0730161440100612
"211","Male","15-24",18,0.219048432030184
"212","Male","2-14",18,0.146032288020122
"213","Male","25-34",18,0.292064576040245
"214","Male","35-49",18,0.365080720050306
"215","Male","50+",18,0.438096864060367
"216","Male","<2",18,0.0730161440100612
"217","Female","15-24",19,0.416691469830881
"218","Female","2-14",19,0.277794313220587
"219","Female","25-34",19,0.555588626441174
"220","Female","35-49",19,0.694485783051468
"221","Female","50+",19,0.833382939661762
"222","Female","<2",19,0.138897156610294
"223","Male","15-24",19,0.416691469830881
"224","Male","2-14",19,0.277794313220587
"225","Male","25-34",19,0.555588626441174
"226","Male","35-49",19,0.694485783051468
"227","Male","50+",19,0.833382939661762
"228","Male","<2",19,0.138897156610294
"229","Female","15-24",20,0.206604929334477
"230","Female","2-14",20,0.137736619556318
"231","Female","25-34",20,0.275473239112636
"232","Female","35-49",20,0.344341548890795
"233","Female","50+",20,0.413209858668954
"234","Female","<2",20,0.068868309778159
"235","Male","15-24",20,0.206604929334477
"236","Male","2-14",20,0.137736619556318
"237","Male","25-34",20,0.275473239112636
"238","Male","35-49",20,0.344341548890795
"239","Male","50+",20,0.413209858668954
"240","Male","<2",20,0.068868309778159
"241","Female","15-24",21,0.143008302283163
"242","Female","2-14",21,0.0953388681887752
"243","Female","25-34",21,0.19067773637755
"244","Female","35-49",21,0.238347170471938
"245","Female","50+",21,0.286016604566326
"246","Female","<2",21,0.0476694340943876
"247","Male","15-24",21,0.143008302283163
"248","Male","2-14",21,0.0953388681887752
"249","Male","25-34",21,0.19067773637755
"250","Male","35-49",21,0.238347170471938
