Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Afghanistan,AFG,..,10.1998697270563,16.1278038080551,15.8235824504332,15.9236559656703,15.4202070236206,14.8562349775318,15.026434394062,15.3352430921872,14.5879421234131,14.9102820470681,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Albania,ALB,2.33817101051485,42.0198001710921,42.89701677571,42.7088500219256,42.3874615379273,42.259562222268,42.3056632943665,40.5518779586953,40.2120768842584,40.5962365523591,39.4929056444505,39.3625610746
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Algeria,DZA,3.12681665655872,15.7627365667337,33.4217802011761,34.1662413875974,36.0388086573497,37.458251953125,38.8773498535156,38.3893852233887,37.4388656616211,38.7630996704102,44.5011166577085,41.966491662277
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Andorra,AND,0.481169191568553,0.705779895430886,0.688545090494479,0.686720483374888,0.682621757490967,0.678233981132507,0.656328009600346,0.64122788740431,0.627878780205223,0.604573547840118,0.588730553261158,0.601311820072143
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Angola,AGO,1.05946358259261E-08,2.08385618156183,66.0018757612622,69.5859035283092,82.8633266447229,95.8372421264648,111.44181060791,124.439605712891,146.909133911133,174.090515136719,184.936623659571,209.922137539756
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Antigua and Barbuda,ATG,1.58435036935068,1.68801336758944,1.93511005167144,2.06855869734309,2.09674444871081,2.13833737373352,2.01181793212891,1.92162227630615,1.85506355762482,1.81939482688904,1.81017947393948,1.83044748608644
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Argentina,ARG,0.293939470122175,0.66408924471236,5.46151378584004,6.88258971224653,9.32211732577767,10.2927856445313,13.5268135070801,20.3836688995361,26.8871841430664,38.783332824707,61.4031809748514,138.535504351528
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Armenia,ARM,0.00513118142399785,126.51695522113,164.557666539169,172.04720077425,160.208207872256,154.786590576172,157.376907348633,147.486145019531,141.940551757813,148.241226196289,149.549508990476,148.376614712426
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Aruba,ABW,0.923371170771069,1.12586291238992,1.3117209860102,1.36631378592424,1.36001458924542,1.35663664340973,1.37060558795929,1.42321181297302,1.4119086265564,1.36395359039307,1.3177220251751,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Australia,AUS,1.364415,1.31208,1.452489,1.473691,1.450156,1.477553,1.470403,1.459253,1.431163,1.416683,1.372115,1.391128
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Austria,AUT,0.920645,0.907505,0.798797,0.798813,0.776931,0.775009,0.765403,0.738332,0.728799,0.713469,0.69687,0.708583
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Azerbaijan,AZE,7.77760368660978E-06,0.173325525102385,0.352385193609108,0.373831913649521,0.426016726419135,0.498603373765945,0.52723491191864,0.48993256688118,0.474218666553497,0.457138150930405,0.586238873845687,0.513547203253494
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Bahamas, The",BHS,0.981485753028117,0.9786048604471,0.918396825378532,0.955871813530898,0.94831266986888,0.929797828197479,0.926608264446259,0.931452453136444,0.962290525436401,0.977568686008453,0.952545397837921,0.977354359953442
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bahrain,BHR,0.1358150706556,0.121675205889737,0.183168477622234,0.18578421233034,0.188678214863324,0.185696244239807,0.190370857715607,0.181090995669365,0.171287223696709,0.185745358467102,0.186887239698007,0.171277544238009
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bangladesh,BGD,13.5555757069273,15.8119501250685,25.6504046099574,27.0466120505002,28.1895707253508,29.3513450622559,29.397891998291,29.595682144165,28.7098007202148,28.296688079834,27.7700944941562,28.6414527647285
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Barbados,BRB,1.61904143173732,1.77388453082101,2.17185445575247,2.12912761290443,2.11681498966242,2.20044374465942,2.16222667694092,2.1943838596344,2.31882476806641,2.38420343399048,2.31815692185701,2.34255483499186
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Belarus,BLR,8.13056391102997E-09,0.0157733803009291,0.447961900499018,0.524063800819057,0.562285911430173,0.607136130332947,0.647122502326965,0.641350507736206,0.641749382019043,0.688632726669312,0.739093726065468,0.765644162330282
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Belgium,BEL,0.913792,0.9,0.800214,0.799998,0.781011,0.775634,0.766407,0.735832,0.716165,0.705865,0.694643,0.701943
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Belize,BLZ,1.33983748348375,1.25437886555622,1.29150204825605,1.29049548931782,1.30670152863667,1.3314516544342,1.26605069637299,1.17554986476898,1.08695876598358,1.04862034320831,1.05179251000316,1.12538351296439
